question,answer,tags
"<p>I created a UserForm with several functions.</p>

<p>The form opens as I open the Excel file, however if I try to close the form the Excel file close together. Additionally, I can't open the VBA of this Excel (containing the form), so what I do (and that is really dum) it is to open another Excel, press <kbd>Alt</kbd>+<kbd>F11</kbd> to open the macro environment and then I can open my Excel file with the UserForm. </p>

<p>I think my problem is in this specific code:</p>

<pre><code>Private Sub UserForm_Terminate()
    'Application.Visible = True
    ActiveWorkbook.Saved = True
    Application.Quit
End Sub
</code></pre>

<p>Can anyone guess what is the problem here?</p>
","<p>If you just want to close the Userform use <code>Unload Me</code> instead of <code>Application.Quit</code>.</p>
","<excel><vba><excel-vba><userform>"
"<pre><code>Sub test1()

Dim Str As String
Dim Search As String
Dim Status As String
Str = Cells(2, 5).Value
Search = FDSA!Cells(2, 5).Value
Status = FDSA!Cells(2, 10).Value

    If InStr(Search, Str) = True Then
                Status = ""ok""
    Else
         End If

End Sub
</code></pre>

<p>I will be building up from this with loops. I want to check if what is in Cells(2,5) is contained in FDSA!Cells(2,5). If it is true then I would like to mark FDSA!Cells(2,10) as ok. I am getting an object required message. This is what I could come up with after looking at examples and tutorials. Let me know if you have questions  </p>

<p>Only second time working on VBA.
Thanks in advance, Alexis M.</p>
","<p>Your syntax for referencing the worksheet is incorrect.  That is probably throwing the error.  You need to call to <code>Worksheets(""FDSA"")</code> and not use the <code>FDSA!</code> call like you have.</p>

<p>Also, you will have to set the cell value equal to <code>Status</code> for this to work.  Just changing <code>Status</code> will not write it back into the workbook.  </p>

<p>Also <code>InStr</code> returns the location of the match.  If you want to know if there was a match, you need to check that the return is <code>&gt;0</code>.  This code should run and hopefully is closer to correct than your current code.</p>

<pre><code>Sub test1()

Dim Str As String
Dim Search As String

Str = Cells(2, 5).Value
Search = Worksheets(""FDSA"").Cells(2, 5).Value


    If InStr(Search, Str) &gt; 0 Then
        Worksheets(""FDSA"").Cells(2, 10).Value = ""ok""
    End If

End Sub
</code></pre>
","<excel-vba>"
"<p>I have a set of 100 part numbers in a particular sheet and want to eliminate the data corresponding to those 100 part numbers from my Master Part List sheet (which contains a huge list of parts). I don't know how to proceed for this?</p>
","<p>The Advanced Filter will do this for you fairly easily.  If you have a sheet with the part numbers listed, you can use that as the criteria range.  Once filtered, simply delete the visible rows and remove the filter.</p>

<p>Advanced Filter setup</p>

<p><img src=""https://i.stack.imgur.com/eWTs6.png"" alt=""advanced filter""></p>

<p>Delete visible rows</p>

<p><img src=""https://i.stack.imgur.com/oNrjt.png"" alt=""delete rows""></p>

<p>Once deleted, you can clear the filter to get back to normal.</p>
","<excel><vba><delete-row>"
"<p><strong>I have the following:</strong><br>
<br>
<img src=""https://i.stack.imgur.com/yTqt9.png"" alt=""enter image description here"">
<br><br>
<strong>I expect the following:</strong><br>
<br><img src=""https://i.stack.imgur.com/neZ3O.png"" alt=""enter image description here""><br></p>

<p><strong>I am using this code:</strong><br><br></p>

<pre><code>Sub merge_cells()

Application.DisplayAlerts = False

Dim r As Integer
Dim mRng As Range
Dim rngArray(1 To 4) As Range
r = Range(""A65536"").End(xlUp).Row

For myRow = r To 2 Step -1

    If Range(""A"" &amp; myRow).Value = Range(""A"" &amp; (myRow - 1)).Value Then

        For cRow = (myRow - 1) To 1 Step -1

            If Range(""A"" &amp; myRow).Value &lt;&gt; Range(""A"" &amp; cRow).Value Then

                Set rngArray(1) = Range(""A"" &amp; myRow &amp; "":A"" &amp; (cRow + 0))
                Set rngArray(2) = Range(""B"" &amp; myRow &amp; "":B"" &amp; (cRow + 0))
                Set rngArray(3) = Range(""C"" &amp; myRow &amp; "":C"" &amp; (cRow + 0))
                Set rngArray(4) = Range(""D"" &amp; myRow &amp; "":D"" &amp; (cRow + 0))

                For i = 1 To 4
                    Set mRng = rngArray(i)
                    mRng.Merge
                    With mRng
                        .HorizontalAlignment = xlCenter
                        .VerticalAlignment = xlCenter
                        .WrapText = False
                        .Orientation = 90
                        .AddIndent = False
                        .IndentLevel = 0
                        .ShrinkToFit = False
                        .ReadingOrder = xlContext
                        .MergeCells = True
                    End With

                Next i

                myRow = cRow + 2
                Exit For
            End If
        Next cRow
    End If
Next myRow

Application.DisplayAlerts = True

End Sub
</code></pre>

<p><br><br>
<strong>what I get is:</strong><br><br>
<img src=""https://i.stack.imgur.com/uPaCb.png"" alt=""enter image description here""><br><br></p>

<p><br><br><strong><em>Question:</em></strong> <strong>how to achieve this?</strong></p>

<p><br>Actually in my original data, the first three columns have data every 88 rows starting from row 3 and the column D should get merged every four rows. <br></p>
","<p>Your code does not distinguish between the different columns in any way.  If you know how many rows to merge you can simply search for cells and then do the merge based on column number.  Here is one such approach which uses a pair of arrays to track how many rows to merge and then what formatting to apply.</p>

<p>You will need to change the row counts in the array definition.  Sounds like you want (87,87,87,3) based on your edit.  I did (11,11,11,3) to match your example though.  This is the real fix to your code; it uses the <code>Column</code> number to determine how many rows to merge.</p>

<p>I also just typed some values into the spreadsheet and used <code>SpecialCells</code> to get only the cells with values.  If your data matches your example, this works fine.</p>

<p><strong>Edit</strong> includes unmerging cells first per OP request.</p>

<pre><code>Sub MergeAllBasedOnColumn()

    Dim rng_cell As Range
    Dim arr_rows As Variant
    Dim arr_vert_format As Variant

    'change these to the actual number of rows
    'one number for each column A, B, C, D
    arr_rows = Array(11, 11, 11, 3)

    'change these if the formatting is different than example
    arr_vert_format = Array(True, True, True, False)

    'unmerge previously merged cells
    Cells.UnMerge

    'get the range of all cells, mine are all values
    For Each rng_cell In Range(""A:D"").SpecialCells(xlCellTypeConstants)

        'ignore the header row
        If rng_cell.Row &gt; 2 Then

            'use column to get offset count
            Dim rng_merge As Range
            Set rng_merge = Range(rng_cell, rng_cell.Offset(arr_rows(rng_cell.Column - 1)))

            'merge cells
            rng_merge.Merge

            'apply formatting
            If arr_vert_format(rng_cell.Column - 1) Then
                'format for the rotated text (columns A:C)
                With rng_merge
                        .HorizontalAlignment = xlCenter
                        .VerticalAlignment = xlCenter
                        .WrapText = False
                        .Orientation = 90
                        .AddIndent = False
                        .IndentLevel = 0
                        .ShrinkToFit = False
                        .ReadingOrder = xlContext
                End With
            Else
                'format for the other cells (column D)
                With rng_merge
                        .HorizontalAlignment = xlCenter
                        .VerticalAlignment = xlCenter
                        .WrapText = False
                End With
            End If
        End If
    Next rng_cell
End Sub
</code></pre>

<p><strong>Before</strong></p>

<p><img src=""https://i.stack.imgur.com/4SAgG.png"" alt=""before""></p>

<p><strong>After</strong></p>

<p><img src=""https://i.stack.imgur.com/YZykf.png"" alt=""after""></p>
","<excel><vba><excel-vba>"
"<p>I'm not sure this is possible but thought this was the best place to ask.</p>

<p>Is it posible to get the position of a series value on a graph in excel?</p>

<p>For example,  if I have a line graph in excel that has time along the x axis, is it possible to (using VBA) get the position of a specific point on that axis.</p>

<p>What I am trying to do is have a vertical line that is can be positioned based on a date entered by the user.</p>

<p>like this</p>

<p><img src=""https://i.stack.imgur.com/n1G6U.jpg"" alt=""enter image description here""></p>

<p>Where the green line could be positioned by entering in a date (rather than just being manually moved)  (or also it could be set to automatically move to the current date etc).</p>

<p>I was then thinking that if the position is on the graph is queryable, then I can just access the line object and move it to any position I wanted through VBA.</p>

<p>Any Ideas?  or is this just not possible? </p>
","<p>The ""cleanest"" way to do this is to add the line to the chart as a new series.  In that way, Excel handles all of the positioning and your work is simplified.  To get a vertical line on a chart, there are a number of options.  I prefer this route:</p>

<ol>
<li>Create a small 2x2 area with two dates and two values</li>
<li>Add in the date or x-axis value you want the line at (<code>E3</code> in image).  You can use <code>=TODAY()</code> here or some manually entered value.</li>
<li>Set the second x-axis value equal to the first</li>
<li>Use <code>MAX</code> and <code>MIN</code> on the data to get the values for each date.  You can also use 0 and 1 and a secondary axis, but I think <code>MAX/MIN</code> is easier.</li>
<li>Add the data to the chart and format as a marker with straight line.</li>
</ol>

<p><strong>Formulas</strong></p>

<ul>
<li><code>E3</code>: <code>=TODAY()</code></li>
<li><code>E4</code>: <code>=E3</code></li>
<li><code>F3</code>: <code>=MIN(C3:C27)</code></li>
<li><code>F4</code>: <code>=MAX(C3:C27)</code></li>
</ul>

<p><strong>Result and chart data series for vertical line</strong></p>

<p><img src=""https://i.stack.imgur.com/ELSZS.png"" alt=""results and chart""></p>
","<excel><vba><excel-vba>"
"<p>I have an Excel sheet, and column <code>A</code> has a list of product names. Most of the products have multiple variations, such as:</p>

<pre><code>A1: LDP2-sm
A2: LDP2-med
A3: LDP2-lg
A4: LDP3-sm
A5: LDP3-med
A6: LDP3-lg
A7: LDP3-xlg
</code></pre>

<p>Here, <code>LDP2</code> is 1 product with 3 variations and <code>LDP3</code> is 1 product with 4 variations</p>

<p>How do I loop through this list and find the start of a new variation? In the above example, I'd want to find <code>A1</code> and <code>A4</code>. Then, I want to insert a row above each.</p>

<p>Here is the code I have so far:</p>

<pre><code>Dim rw As Long
Dim lr As Long
Dim cnt As Long
lr = 500
rw = 2
cnt = 1
Do
    If Range(""A"" &amp; cnt).Value = *FIRST VARIATION OF A NEW PRODUCT*
        Rows(rw).Insert Shift:=xlDown
        cnt = cnt + 1
    Else
        cnt = cnt + 1
    End If
    rw = rw + 1
Loop While rw &lt;&gt; lr
</code></pre>

<p>What code do I need for <em>FIRST VARIATION OF A NEW PRODUCT</em>?</p>

<p>It needs to determine if the value of the cell starts with a different prefix than the cell above it.</p>

<p>I won't know what the product name starts with or how many variations the product has, but I do know that the first portion of the product name will change. I.e. <code>LDP2</code>, <code>LDP3</code>, <code>LDP4</code>, etc.</p>
","<p><code>Split</code> is the function you are looking for if you will always have a single <code>-</code> in the name.  It will give you each part of the name and you can then compare to the previous row.</p>

<p>Here is code that works for your example.</p>

<pre><code>Sub SplitProductName()

    Dim rng_cell As Range
    Dim str_prev As String

    For Each rng_cell In Range(Range(""A1""), Range(""A1"").End(xlDown))

        Dim parts As Variant

        parts = Split(rng_cell, ""-"")

        'check that it is different
        If parts(0) &lt;&gt; str_prev Then
            rng_cell.EntireRow.Insert xlUp
        End If

        'assign previous for next row
        str_prev = parts(0)

    Next rng_cell
End Sub
</code></pre>

<p><strong>Before</strong></p>

<p><img src=""https://i.stack.imgur.com/E75G3.png"" alt=""before macro""></p>

<p><strong>After</strong></p>

<p><img src=""https://i.stack.imgur.com/SDRDP.png"" alt=""after macro""></p>
","<excel><vba><loops><excel-vba>"
"<p>I have a piece of code that is supposed to format a tab of information. I took it from a piece of code previously used and I am modifying it to fit my needs. I am getting a <code>syntax error</code> on the <code>.Selection Subtotal   GroupBy:=3, Function:=xlSum, TotalList:=Array(8, 10), _
        Replace:=True, PageBreaks:=False, SummaryBelowData:=True</code> line. </p>

<p>VBA isn't exactly a strong point of mine so I would like to figure out a way to perform this properly. I know selection is frowned upon so if anyone has a way around it without me having to redo a bunch of code that would be awesome. </p>

<pre><code>With ActiveSheet
.Range(""A10"").Select
.Range(Selection, Selection.End(xlToRight)).Select
.Range(Selection, Selection.End(xlDown)).Select
.Selection Subtotal GroupBy:=3, Function:=xlSum, TotalList:=Array(8, 10), _
    Replace:=True, PageBreaks:=False, SummaryBelowData:=True
.Outline.ShowLevels RowLevels:=2

.Range(""C8"").Select
End With
</code></pre>
","<p>Working code should be:</p>

<pre><code>With ActiveSheet
.Range(""A10"").Select
.Range(Selection, Selection.End(xlToRight)).Select
.Range(Selection, Selection.End(xlDown)).Select
Selection.Subtotal GroupBy:=3, Function:=xlSum, TotalList:=Array(8, 10), _
    Replace:=True, PageBreaks:=False, SummaryBelowData:=True
.Outline.ShowLevels RowLevels:=2

.Range(""C8"").Select
End With
</code></pre>

<p><code>Subtotal</code> is a sub that needs to be called on the <code>Selection</code>.  Therefore it needs a period between the two to make the call.</p>

<p>Also <code>Selection</code> is not a property of the <code>ActiveSheet</code> so the preceding period should be dropped inside the <code>With</code> block.</p>
","<excel><vba>"
"<p>I have an Excel spreadsheet that has add-in functions that compute on data given in a fixed range. All the worksheets work properly with pressing of F9 or Shift-F9 keys.</p>

<p>I am writing a for loop with VBA. It copies a range from one worksheet which contains all the data to another worksheet. Then calculates manually one worksheet at a time, with pauses, and even compute twice so as to ensure the execution of each worksheet. If I manually step through the VBA code line by line in the debug mode through the whole for loops, everything works. However, if I press F5 and run the whole VBA for loop at full speed. The code produces the same result for many (not all) of the consecutive iterations of the for loop, while I know the results should all be different. My guess is that the workseets become stale and are not replaced with new data.</p>

<p>The following is my VBA code. I would really appreciate if someone would take a look at it and help to resolve this problem. The main part of the code that is problematic is ""sht.Calculate"".</p>

<pre><code>Option Base 1
#If VBA7 Then
    Public Declare PtrSafe Sub Sleep Lib ""kernel32"" (ByVal dwMilliseconds As LongPtr) 'For 64 Bit Systems
#Else
    Public Declare Sub Sleep Lib ""kernel32"" (ByVal dwMilliseconds As Long) 'For 32 Bit Systems
#End If

Function runCalibrate()
Dim xl As Workbook
Set xl = ThisWorkbook
nRowPerBlock = 15
yrs = Array(""2005"", ""2006"", ""2007"", ""2008"", ""2009"", ""2010"", ""2011"", ""2012"", ""2013"", ""2014"", ""2015"")

Application.Calculation = xlCalculationManual

strikeSentinel = Array(1, 13)
maturitySentinel = Array(1, 10)

nRow = maturitySentinel(2) - maturitySentinel(1) + 1
nCol = strikeSentinel(2) - strikeSentinel(1) + 1
For j = 1 To UBound(yrs)
    Set a = Worksheets(yrs(j)).Cells(3, 2)
    For i = 0 To 11
        b = a.Offset(1 + nRowPerBlock * i, 1).Resize(nRow, nCol)
        xl.Sheets(""SPX"").Range(""p4:ab13"") = b

        'refresh required worksheets
        Call RefreshSheetNX(xl.Sheets(""TODAY""))
        Call RefreshSheetNX(xl.Sheets(""USD""))
        Call RefreshSheetNX(xl.Sheets(""SPX""))
        Call RefreshSheetNX(xl.Sheets(""EQ Model""))
        Call RefreshSheetNX(xl.Sheets(""EQ Calibration""))

        c = xl.Sheets(""EQ Calibration"").Range(""c18:c32"")
        xl.Sheets(""calibration time series"").Cells(38, 2 + 12 * (j - 1) + i).Resize(15, 1) = c
    Next i
Next j

End Function

Function RefreshSheetNX(sht As Worksheet)
    On Error Resume Next
    sht.Cells.Dirty
    sht.Calculate
    Call Sleep(1000)
    sht.Calculate
    Call Sleep(1000)
End Function
</code></pre>

<hr>

<p>As Byron suggested, I use 'Application.CalculateFullRebuild' as in the following code. But it is not reacting at all when I stepped through 'Application.CalculateFullRebuild'.</p>

<pre><code>Option Base 1
#If VBA7 Then
    Public Declare PtrSafe Sub Sleep Lib ""kernel32"" (ByVal dwMilliseconds As LongPtr) 'For 64 Bit Systems
#Else
    Public Declare Sub Sleep Lib ""kernel32"" (ByVal dwMilliseconds As Long) 'For 32 Bit Systems
#End If

Function runCalibrate()
Dim xl As Workbook
Set xl = ThisWorkbook
nRowPerBlock = 15
yrs = Array(""2005"", ""2006"", ""2007"", ""2008"", ""2009"", ""2010"", ""2011"", ""2012"", ""2013"", ""2014"", ""2015"")

Application.Calculation = xlCalculationManual

strikeSentinel = Array(1, 13)
maturitySentinel = Array(1, 10)

nRow = maturitySentinel(2) - maturitySentinel(1) + 1
nCol = strikeSentinel(2) - strikeSentinel(1) + 1
For j = 1 To UBound(yrs)
    Set a = Worksheets(yrs(j)).Cells(3, 2)
    For i = 0 To 11
        b = a.Offset(1 + nRowPerBlock * i, 1).Resize(nRow, nCol)
        xl.Sheets(""SPX"").Range(""p4:ab13"") = b

        'refresh required worksheets
'        Call RefreshSheetNX(xl.Sheets(""TODAY""))
'        Call RefreshSheetNX(xl.Sheets(""USD""))
'        Call RefreshSheetNX(xl.Sheets(""SPX""))
'        Call RefreshSheetNX(xl.Sheets(""EQ Model""))
'        Call RefreshSheetNX(xl.Sheets(""EQ Calibration""))
        Application.CalculateFullRebuild            

        c = xl.Sheets(""EQ Calibration"").Range(""c18:c32"")
        xl.Sheets(""calibration time series"").Cells(38, 2 + 12 * (j - 1) + i).Resize(15, 1) = c
    Next i
Next j

End Function
</code></pre>
","<p>Consider the use of <code>Application.CalculateFullRebuild</code> instead of multiple calls to <code>Calculate</code> for each sheet.  It will force a recalc of everything and rebuild dependencies (as the name implies).</p>

<p>Depending on how formulas are related between sheets, you might not be triggering the right order of calculations processing each sheet one at a time.  The full rebuild approach is the ""nuclear option"" for refreshing a spreadsheet.  Specifically, calling <code>sht.Cells.Dirty</code> and then <code>sht.Calculate</code> may only force a refresh of the current sheet without consideration for changes on other sheets.</p>
","<excel><vba><excel-vba>"
"<p>I am looking around for a formula to hide certain rows based on certain cell inputs. In cell <code>C5</code> I have a drop-down selection of ""<code>Corporates</code>"" and ""<code>Projects</code>"". In cell <code>C8</code> I have a drop-down selection of ""<code>High</code>"", ""<code>Medium</code>"", and ""<code>Low</code>"". In cell <code>H6</code> I have the formula <code>=C5&amp;C8</code>. The macro I have is as follows:</p>

<pre><code>Private Sub Worksheet_Change(ByVal Target As Range)
If Target.Address(False, False) = ""H6"" Then
    Select Case Target.Value
        Case ""CorporatesHigh"": Rows(""21:33"").Hidden = True: Rows(""12:20"").Hidden = False
        Case ""CorporatesMedium"": Rows(""21:33"").Hidden = True: Rows(""12:20"").Hidden = False
        Case ""CorporatesLow"": Rows(""25:33"").Hidden = True: Rows(""12:24"").Hidden = False
        Case ""ProjectsHigh"": Rows(""25:28"").Hidden = False: Rows(""29:33"").Hidden = True: Rows(""12:24"").Hidden = True
        Case ""ProjectsMedium"": Rows(""25:28"").Hidden = False: Rows(""29:33"").Hidden = True: Rows(""12:24"").Hidden = True
        Case ""ProjectsLow"": Rows(""25:33"").Hidden = False: Rows(""12:24"").Hidden = True
        Case """": Rows(""12:33"").Hidden = False
        Case ""Corporates"": Rows(""12:33"").Hidden = False
        Case ""Projects"": Rows(""12:33"").Hidden = False
        Case ""High"": Rows(""12:33"").Hidden = False
        Case ""Medium"": Rows(""12:33"").Hidden = False
        Case ""Low"": Rows(""12:33"").Hidden = False
    End Select
End If
End Sub
</code></pre>

<p>The macro works when I click into <code>H6</code> but I need it to work when cells <code>C5</code> or <code>C8</code> is changed.</p>
","<p>The <code>If-Not-Intersect-Is Nothing</code> pattern is the preferred way to check if the changed cells(s) are inside a given range of cell(s).</p>

<p>To handle all three of your cells, you can use the following.  You can easily add or remove cells to the <code>Range</code> if you want.</p>

<pre><code>Private Sub Worksheet_Change(ByVal Target As Range)
    If Not Intersect(Target, Range(""H6,C5,C8"")) Is Nothing Then
        Select Case Range(""H6"").Value
            Case ""CorporatesHigh"": Rows(""21:33"").Hidden = True: Rows(""12:20"").Hidden = False
            Case ""CorporatesMedium"": Rows(""21:33"").Hidden = True: Rows(""12:20"").Hidden = False
            Case ""CorporatesLow"": Rows(""25:33"").Hidden = True: Rows(""12:24"").Hidden = False
            Case ""ProjectsHigh"": Rows(""25:28"").Hidden = False: Rows(""29:33"").Hidden = True: Rows(""12:24"").Hidden = True
            Case ""ProjectsMedium"": Rows(""25:28"").Hidden = False: Rows(""29:33"").Hidden = True: Rows(""12:24"").Hidden = True
            Case ""ProjectsLow"": Rows(""25:33"").Hidden = False: Rows(""12:24"").Hidden = True
            Case """": Rows(""12:33"").Hidden = False
            Case ""Corporates"": Rows(""12:33"").Hidden = False
            Case ""Projects"": Rows(""12:33"").Hidden = False
            Case ""High"": Rows(""12:33"").Hidden = False
            Case ""Medium"": Rows(""12:33"").Hidden = False
            Case ""Low"": Rows(""12:33"").Hidden = False
        End Select
    End If
End Sub
</code></pre>
","<excel><vba><excel-vba>"
"<p><strong><em>Required:</em></strong>
I'm trying to create a macro that filters <strong>cell I22</strong> for all <em>zero</em> values, selects all those rows, deletes them and then unfilters again.</p>

<p><strong><em>What I have:</em></strong>
Currently I'm doing this in two different steps, since doing this in one step takes a couple hours (as it deletes row per row)</p>

<p><strong>Code (1)</strong>: Autofilters to 'zero' and 'N/A', selects all of them and clears all the content. Next it clears the filter and sorts from largest to smallest. This way excel doesn't have to delete each row separately making the process faster.</p>

<p><strong>Code (2)</strong>: Deletes all the blank rows.</p>

<p>I have the impression this code is not exactly efficient and too long given the task it needs to do. Is it possible to combine these into one code?</p>

<p><strong><em>Code (1)</em></strong></p>

<pre><code>Sub clearalldemandzero()

clearalldemandzero Macro

ActiveWindow.SmallScroll Down:=15
Range(""A26:EU26"").Select
Selection.AutoFilter
ActiveWindow.SmallScroll ToRight:=3
ActiveSheet.Range(""$A$26:$EU$5999"").AutoFilter Field:=9, Criteria1:=""=0.00"" _
    , Operator:=xlOr, Criteria2:=""=#N/A""
Rows(""27:27"").Select
Range(""D27"").Activate
Range(Selection, Selection.End(xlDown)).Select
Selection.Clear
ActiveSheet.ShowAllData
Range(""H28"").Select
ActiveWorkbook.Worksheets(""Solver 4"").AutoFilter.Sort.SortFields.Clear
ActiveWorkbook.Worksheets(""Solver 4"").AutoFilter.Sort.SortFields.Add Key:= _
    Range(""I26:I5999""), SortOn:=xlSortOnValues, Order:=xlDescending, _
    DataOption:=xlSortNormal
With ActiveWorkbook.Worksheets(""Solver 4"").AutoFilter.Sort
    .Header = xlYes
    .MatchCase = False
    .Orientation = xlTopToBottom
    .SortMethod = xlPinYin
    .Apply
End With
End Sub
</code></pre>

<p><strong><em>Code (2)</em></strong></p>

<pre><code>Sub DeleteBlankRows3()

'Deletes the entire row within the selection if the ENTIRE row contains no data.'

Dim Rw As Range

If WorksheetFunction.CountA(Selection) = 0 Then

    MsgBox ""No data found"", vbOKOnly, ""OzGrid.com""
    Exit Sub
End If

With Application

    .Calculation = xlCalculationManual
    .ScreenUpdating = False
    Selection.SpecialCells(xlCellTypeBlanks).Select

    For Each Rw In Selection.Rows

        If WorksheetFunction.CountA(Selection.EntireRow) = 0 Then

            Selection.EntireRow.Delete
        End If
    Next Rw

    .Calculation = xlCalculationAutomatic
    .ScreenUpdating = True

End With

End Sub
</code></pre>
","<p>If your code to Select the filtered data is working, you can simply delete all the rows at that step in one shot.  The key is to use <code>SpecialCells</code> and only select visible cells.  Then you can get the <code>EntireRow</code> and <code>Delete</code> it.</p>

<p>The relevant line of code to add would be this:</p>

<pre><code>Selection.SpecialCells(xlCellTypeVisible).EntireRow.Delete
</code></pre>

<p>The modification to code 1 in its entirety should be:</p>

<pre><code>Sub clearalldemandzero()

    clearalldemandzero Macro



    ActiveWindow.SmallScroll Down:=15
    Range(""A26:EU26"").Select
    Selection.AutoFilter
    ActiveWindow.SmallScroll ToRight:=3
    ActiveSheet.Range(""$A$26:$EU$5999"").AutoFilter Field:=9, Criteria1:=""=0.00"" _
        , Operator:=xlOr, Criteria2:=""=#N/A""
    Rows(""27:27"").Select
    Range(""D27"").Activate
    Range(Selection, Selection.End(xlDown)).Select

    Selection.SpecialCells(xlCellTypeVisible).EntireRow.Delete

    ActiveSheet.ShowAllData


End Sub
</code></pre>

<p>As a side note, you should generally work to avoid using <code>Select</code> <code>Selection</code> and other things that interface with the Excel UI like that.  I did not try to fix those issues here since it seems that your code is generally working.  Reference to that issue: <a href=""http://stackoverflow.com/questions/10714251/how-to-avoid-using-select-in-excel-vba-macros"">How to avoid using Select in Excel VBA macros</a></p>
","<excel><vba><excel-vba>"
"<p>Please give a hand with this im trying to have a conditional formatting to apply to input cells in a spreadsheet but at the same time i want a switch to
turn it off for printing purposes.</p>

<p>Formula:</p>

<pre><code>=IF(READY_TO_PRINT=""YES"",CELL(""protect"",A1)=0)
</code></pre>

<p>The ready to print is a name range to serve as a switch to turn the specify style i want to turn off before print.</p>

<p>I would appreciate any solution including vba scenarios.
Thanks in advance!</p>
","<p>If you want to apply the formatting with both conditions, you just need an <code>AND</code> around them.  Conditional formatting expects to get a <code>TRUE/FALSE</code> answer to apply the formatting.  <code>AND</code> does this properly while <code>IF</code> will not as you've written it.</p>

<pre><code>=AND(READY_TO_PRINT=""NO"",CELL(""protect"",A1)=0)
</code></pre>

<p>I switched your <code>READY_TO_PRINT</code> to <code>""NO""</code> since it seems you want to apply the formatting when it is not ready to print (as I understand it).  If not, hopefully you can modify this formula as needed to get your solution.</p>
","<excel><excel-vba><excel-formula>"
"<p>I am trying to make a red label appear on my form and can not. I have tried changing the property to RGB and HEX and just get errors. Is there a way to get a property value to make my label RGB(200, 0, 0)? I am unaware of how the value in the property areas is developed. </p>

<p>This is the only way I can make a red label:</p>

<pre><code>Private Sub Label13_Click()
 Label13.BackColor = RGB(200, 0, 0)
End Sub
</code></pre>

<p>I have to click the label to make it red. Is there a way to use code to make it red when the form starts? Or perhaps generate a value for the property? Thank you for your help in advance.</p>
","<p>You can use the <code>Initialize</code> event for the form instead of putting the event on a <code>Click</code> event.</p>

<p>Here is an example with the form named <code>UserForm</code>.  Use the dropdowns to select the form and then the <code>Initialize</code> event.</p>

<p><img src=""https://i.stack.imgur.com/NY9fM.png"" alt=""form events""></p>

<p>You can also just set the color in the properties if you know this is the color you want.</p>

<p><img src=""https://i.stack.imgur.com/JL8sr.png"" alt=""label properties""></p>
","<excel><vba><excel-vba>"
"<p>I'm trying to loop through a range below and get runtime error 1004. The highlighted row is this one here:</p>

<pre><code>ActiveChart.SeriesCollection(i).Values = Worksheets(""Chart Help"").Range(Cells(10 + j, 5), Cells(10 + j, 1006))
</code></pre>

<p>Can anyone tell me what's wrong?  </p>

<pre><code>If Worksheets(""Chart Help"").Cells(4, 9 + j) &lt;&gt; "" "" Then
    ActiveChart.SeriesCollection.NewSeries
    ActiveChart.SeriesCollection(i).Name = Worksheets(""Chart Help"").Cells(4, 9 + j)
    ActiveChart.SeriesCollection(i).XValues = Worksheets(""Chart Help"").Range(""J5:J1006"")
    ActiveChart.SeriesCollection(i).Values = Worksheets(""Chart Help"").Range(Cells(10 + j, 5), Cells(10 + j, 1006))
    ActiveChart.SeriesCollection(i).Select

    With Selection.Format.Line
        .Visible = msoTrue
        .ForeColor.ObjectThemeColor = msoThemeColorAccent6
        .ForeColor.TintAndShade = 0
        .ForeColor.Brightness = 0
        .Transparency = 0
    End With

    i = i + 1
End If

j = j + 1
</code></pre>
","<p>I assume your loop has the proper code and you simply didn't paste it all.</p>

<p>Your 2 calls to <code>Cells</code> refer to the <code>ActiveSheet</code> and not the <code>Chart Help</code> worksheet like you intend.  You will need to prefix <code>Cells</code> with <code>Worksheets(""Chart Help"").Cells</code> for it to not error.</p>

<p>Something like this:</p>

<pre><code>ActiveChart.SeriesCollection(i).Values = Worksheets(""Chart Help"").Range(Worksheets(""Chart Help"").Cells(10 + j, 5), Worksheets(""Chart Help"").Cells(10 + j, 1006))
</code></pre>

<p>Ideally you would define a reference to that worksheet to clean up the code.  You also do not have to prefix the <code>Range</code> with the worksheet in this case.  Those two ideas combined give:</p>

<pre><code>Dim sht_chart As Worksheet
Set sht_chart = Worksheets(""Chart Help"")
ActiveChart.SeriesCollection(i).Values = Range(sht_chart.Cells(10 + j, 5), sht_chart.Cells(10 + j, 1006))
</code></pre>
","<excel><excel-vba>"
"<p>I have target.address (or just target) from a worksheet_change sub. I'd like to use the row from target.address and a range of columns (H:W), and get a sum of that range. So, for instance, if I have $100 in H10 and I add $50 in J10, I'd like to get the sum of $150 since my target.address row is 10 and I'm within my desired column range H:W. </p>
","<p>You can use <code>Intersect</code> and <code>EntireRow</code> to figure out which cells to sum.  I would give them to <code>Application.Sum</code> to do the math.  Another call to <code>Intersect</code> will let you know if the changed cell is in the ""boxed"" area.</p>

<pre><code>Private Sub Worksheet_Change(ByVal Target As Range)

    Dim sum As Double
    Dim rng_match As Range

    Set rng_match = Range(""H:W"")

    If Target.Cells.Count = 1 Then
        If Not Intersect(Target, rng_match) Is Nothing Then
            sum = Application.sum(Intersect(Target.EntireRow, rng_match))
        End If
    End If

End Sub
</code></pre>

<p><strong>Edit:</strong> added a check on <code>Target.Cells.Count</code> per @Tim Williams to ensure that the sum is not affected by a multi-cell edit.  The <code>Else</code> would need to address what to do next if this is an issue.</p>
","<excel><vba><sum><range><target>"
